"rank","title","rating","year","runTime","genre","votes","gross","staff","description"
"384.","The VVitch: A New-England Folktale","6.9","(2015)","92 min","
Drama, Horror, Mystery            ","181,518","$25.14M","
    Director:
Robert Eggers
                 | 
    Stars:
Anya Taylor-Joy, 
Ralph Ineson, 
Kate Dickie, 
Julian Richings
    ","
    A family in 1630s New England is torn apart by the forces of witchcraft, black magic, and possession."
"385.","Tomb Raider","6.3","(2018)","119 min","
Action, Adventure, Fantasy            ","181,193","$58.25M","
    Director:
Roar Uthaug
                 | 
    Stars:
Alicia Vikander, 
Dominic West, 
Walton Goggins, 
Daniel Wu
    ","
    Lara Croft (Alicia Vikander), the fiercely independent daughter of a missing adventurer, must push herself beyond her limits when she discovers the island where her father, Lord Richard Croft (Dominic West) disappeared."
"386.","Tinker Tailor Soldier Spy","7.1","(2011)","122 min","
Drama, Mystery, Thriller            ","181,090","$24.15M","
    Director:
Tomas Alfredson
                 | 
    Stars:
Gary Oldman, 
Colin Firth, 
Tom Hardy, 
Mark Strong
    ","
    In the bleak days of the Cold War, espionage veteran George Smiley (Gary Oldman) is forced from semi-retirement to uncover a Soviet Agent within MI6."
"387.","The Vow","6.8","(2012)","104 min","
Drama, Romance            ","179,522","$125.01M","
    Director:
Michael Sucsy
                 | 
    Stars:
Rachel McAdams, 
Channing Tatum, 
Sam Neill, 
Jessica Lange
    ","
    A car accident puts Paige in a coma, and when she wakes up with severe memory loss, her husband Leo works to win her heart again."
"388.","Unstoppable","6.8","(2010)","98 min","
Action, Thriller            ","179,354","$81.56M","
    Director:
Tony Scott
                 | 
    Stars:
Denzel Washington, 
Chris Pine, 
Rosario Dawson, 
Ethan Suplee
    ","
    With an unmanned, half-mile-long freight train barreling toward a city, a veteran engineer and a young conductor race against the clock to prevent a catastrophe."
"389.","Mother!","6.6","(2017)","121 min","
Drama, Horror, Mystery            ","178,910","$17.80M","
    Director:
Darren Aronofsky
                 | 
    Stars:
Jennifer Lawrence, 
Javier Bardem, 
Ed Harris, 
Michelle Pfeiffer
    ","
    A couple's relationship is tested when uninvited guests arrive at their home, disrupting their tranquil existence."
"390.","The Magnificent Seven","6.9","(2016)","132 min","
Action, Adventure, Western            ","178,064","$93.43M","
    Director:
Antoine Fuqua
                 | 
    Stars:
Denzel Washington, 
Chris Pratt, 
Ethan Hawke, 
Vincent D'Onofrio
    ","
    Seven gunmen from a variety of backgrounds are brought together by a vengeful young widow to protect her town from the private army of a destructive industrialist."
"391.","Blue Valentine","7.4","(2010)","112 min","
Drama, Romance            ","177,934","$9.74M","
    Director:
Derek Cianfrance
                 | 
    Stars:
Ryan Gosling, 
Michelle Williams, 
John Doman, 
Faith Wladyka
    ","
    The relationship of a contemporary married couple, charting their evolution over a span of years by cross-cutting between time periods."
"392.","Wrath of the Titans","5.7","(2012)","99 min","
Action, Adventure, Fantasy            ","177,668","$83.67M","
    Director:
Jonathan Liebesman
                 | 
    Stars:
Sam Worthington, 
Liam Neeson, 
Rosamund Pike, 
Ralph Fiennes
    ","
    Perseus braves the treacherous underworld to rescue his father, Zeus, captured by his son, Ares, and brother Hades who unleash the ancient Titans upon the world."
"393.","Shame","7.2","(2011)","101 min","
Drama            ","177,623","$4.00M","
    Director:
Steve McQueen
                 | 
    Stars:
Michael Fassbender, 
Carey Mulligan, 
James Badge Dale, 
Lucy Walters
    ","
    A sex addict's carefully cultivated private life falls apart after his sister arrives for an indefinite stay."
"394.","Assassin's Creed","5.7","(2016)","115 min","
Action, Adventure, Fantasy            ","177,613","$54.65M","
    Director:
Justin Kurzel
                 | 
    Stars:
Michael Fassbender, 
Marion Cotillard, 
Jeremy Irons, 
Brendan Gleeson
    ","
    Callum Lynch explores the memories of his ancestor Aguilar de Nerha and gains the skills of a Master Assassin, before taking on the secret Templar society."
"395.","Shrek Forever After","6.3","(2010)","93 min","
Animation, Adventure, Comedy            ","177,329","$238.37M","
    Director:
Mike Mitchell
                 | 
    Stars:
Mike Myers, 
Cameron Diaz, 
Eddie Murphy, 
Antonio Banderas
    ","
    Rumpelstiltskin tricks a mid-life crisis burdened Shrek into allowing himself to be erased from existence and cast in a dark alternate timeline where Rumpelstiltskin rules supreme."
"396.","The Hitman's Bodyguard","6.9","(2017)","118 min","
Action, Comedy, Crime            ","176,912","$75.47M","
    Director:
Patrick Hughes
                 | 
    Stars:
Ryan Reynolds, 
Samuel L. Jackson, 
Gary Oldman, 
Elodie Yung
    ","
    The world's top bodyguard gets a new client, a hitman who must testify at the International Criminal Court. They must put their differences aside and work together to make it to the trial on time."
"397.","Ted 2","6.3","(2015)","115 min","
Comedy            ","176,878","$81.48M","
    Director:
Seth MacFarlane
                 | 
    Stars:
Mark Wahlberg, 
Seth MacFarlane, 
Amanda Seyfried, 
Jessica Barth
    ","
    Newlywed couple Ted and Tami-Lynn want to have a baby, but in order to qualify to be a parent, Ted will have to prove he's a person in a court of law."
"398.","Toy Story 4","7.8","(2019)","100 min","
Animation, Adventure, Comedy            ","176,872","$434.04M","
    Director:
Josh Cooley
                 | 
    Stars:
Tom Hanks, 
Tim Allen, 
Annie Potts, 
Tony Hale
    ","
    When a new toy called ""Forky"" joins Woody and the gang, a road trip alongside old and new friends reveals how big the world can be for a toy."
"399.","The Secret Life of Pets","6.5","(2016)","87 min","
Animation, Adventure, Comedy            ","176,217","$368.38M","
    Directors:
Chris Renaud, 
Yarrow Cheney
                 | 
    Stars:
Louis C.K., 
Eric Stonestreet, 
Kevin Hart, 
Lake Bell
    ","
    The quiet life of a terrier named Max is upended when his owner takes in Duke, a stray whom Max instantly dislikes."
"400.","The Next Three Days","7.4","(2010)","133 min","
Action, Crime, Drama            ","176,058","$21.15M","
    Director:
Paul Haggis
                 | 
    Stars:
Russell Crowe, 
Elizabeth Banks, 
Liam Neeson, 
Michael Buie
    ","
    A married couple's life is turned upside down when the wife is accused of a murder."
"401.","Captain Fantastic","7.9","(2016)","118 min","
Comedy, Drama            ","175,758","$5.88M","
    Director:
Matt Ross
                 | 
    Stars:
Viggo Mortensen, 
George MacKay, 
Samantha Isler, 
Annalise Basso
    ","
    In the forests of the Pacific Northwest, a father devoted to raising his six kids with a rigorous physical and intellectual education is forced to leave his paradise and enter the world, challenging his idea of what it means to be a parent."
"402.","Side Effects","7.1","(I) (2013)","106 min","
Crime, Drama, Mystery            ","175,421","$32.17M","
    Director:
Steven Soderbergh
                 | 
    Stars:
Rooney Mara, 
Channing Tatum, 
Jude Law, 
Catherine Zeta-Jones
    ","
    A young woman's world unravels when a drug prescribed by her psychiatrist has unexpected side effects."
"403.","Knight and Day","6.3","(2010)","109 min","
Action, Adventure, Comedy            ","175,136","$76.42M","
    Director:
James Mangold
                 | 
    Stars:
Tom Cruise, 
Cameron Diaz, 
Peter Sarsgaard, 
Jordi Moll¨¤
    ","
    A young woman gets mixed up with a disgraced spy who is trying to clear his name."
"404.","Love & Other Drugs","6.7","(2010)","112 min","
Comedy, Drama, Romance            ","174,496","$32.37M","
    Director:
Edward Zwick
                 | 
    Stars:
Jake Gyllenhaal, 
Anne Hathaway, 
Judy Greer, 
Oliver Platt
    ","
    A young woman suffering from Parkinson's befriends a drug rep working for Pfizer in 1990s Pittsburgh."
"405.","It Chapter Two","6.6","(2019)","169 min","
Drama, Fantasy, Horror            ","173,914","$211.59M","
    Director:
Andy Muschietti
                 | 
    Stars:
Jessica Chastain, 
James McAvoy, 
Bill Hader, 
Isaiah Mustafa
    ","
    Twenty-seven years after their first encounter with the terrifying Pennywise, the Losers Club have grown up and moved away, until a devastating phone call brings them back."
"406.","Jupiter Ascending","5.3","(2015)","127 min","
Action, Adventure, Sci-Fi            ","173,406","$47.39M","
    Directors:
Lana Wachowski, 
Lilly Wachowski
                 | 
    Stars:
Channing Tatum, 
Mila Kunis, 
Eddie Redmayne, 
Sean Bean
    ","
    A young woman discovers her destiny as an heiress of intergalactic nobility and must fight to protect the inhabitants of Earth from an ancient and destructive industry."
"407.","Taken 3","6.0","(2014)","108 min","
Action, Adventure, Thriller            ","173,158","$89.26M","
    Director:
Olivier Megaton
                 | 
    Stars:
Liam Neeson, 
Forest Whitaker, 
Maggie Grace, 
Famke Janssen
    ","
    Accused of a ruthless murder he never committed or witnessed, Bryan Mills goes on the run and brings out his particular set of skills to find the true killer and clear his name."
"408.","Straight Outta Compton","7.9","(2015)","147 min","
Biography, Drama, History            ","173,139","$161.20M","
    Director:
F. Gary Gray
                 | 
    Stars:
O'Shea Jackson Jr., 
Corey Hawkins, 
Jason Mitchell, 
Neil Brown Jr.
    ","
    The rap group NWA emerges from the mean streets of Compton in Los Angeles, California, in the mid-1980s and revolutionizes Hip Hop culture with their music and tales about life in the hood."
"409.","This Means War","6.3","(2012)","103 min","
Action, Comedy, Romance            ","171,946","$54.76M","
    Director:
McG
                 | 
    Stars:
Reese Witherspoon, 
Chris Pine, 
Tom Hardy, 
Til Schweiger
    ","
    C.I.A. operatives wage an epic battle on each other when they discover they are dating the same woman."
"410.","Dracula Untold","6.3","(2014)","92 min","
Action, Drama, Fantasy            ","171,884","$56.28M","
    Director:
Gary Shore
                 | 
    Stars:
Luke Evans, 
Dominic Cooper, 
Sarah Gadon, 
Art Parkinson
    ","
    As his kingdom is being threatened by the Turks, young prince Vlad Tepes must become a monster feared by his own people in order to obtain the power needed to protect his own family, and the families of his kingdom."
"411.","Percy Jackson & the Olympians: The Lightning Thief","5.9","(2010)","118 min","
Adventure, Family, Fantasy            ","171,350","$88.76M","
    Director:
Chris Columbus
                 | 
    Stars:
Logan Lerman, 
Kevin McKidd, 
Steve Coogan, 
Brandon T. Jackson
    ","
    A teenager discovers he's the descendant of a Greek god and sets out on an adventure to settle an on-going battle between the gods."
"412.","Battle Los Angeles","5.7","(2011)","116 min","
Action, Sci-Fi            ","170,918","$83.55M","
    Director:
Jonathan Liebesman
                 | 
    Stars:
Aaron Eckhart, 
Michelle Rodriguez, 
Bridget Moynahan, 
Ramon Rodriguez
    ","
    A squad of U.S. Marines becomes the last line of defense against a global invasion."
"413.","The Judge","7.4","(2014)","141 min","
Crime, Drama            ","170,386","$47.12M","
    Director:
David Dobkin
                 | 
    Stars:
Robert Downey Jr., 
Robert Duvall, 
Vera Farmiga, 
Billy Bob Thornton
    ","
    Big-city lawyer Hank Palmer returns to his childhood home where his father, the town's judge, is suspected of murder. Hank sets out to discover the truth and, along the way, reconnects with his estranged family."
"414.","The Woman in Black","6.4","(2012)","95 min","
Drama, Fantasy, Horror            ","170,305","$54.33M","
    Director:
James Watkins
                 | 
    Stars:
Daniel Radcliffe, 
Janet McTeer, 
Ciar¨¢n Hinds, 
Emma Shorey
    ","
    A young solicitor travels to a remote village where he discovers the vengeful ghost of a scorned woman is terrorizing the locals."
"415.","G.I. Joe: Retaliation","5.8","(2013)","110 min","
Action, Adventure, Sci-Fi            ","169,754","$122.52M","
    Director:
Jon M. Chu
                 | 
    Stars:
Dwayne Johnson, 
Channing Tatum, 
Adrianne Palicki, 
Byung-hun Lee
    ","
    The G.I. Joes are not only fighting their mortal enemy Cobra; they are forced to contend with threats from within the government that jeopardize their very existence."
"416.","Sausage Party","6.1","(2016)","89 min","
Animation, Adventure, Comedy            ","168,769","$97.69M","
    Directors:
Greg Tiernan, 
Conrad Vernon
                 | 
    Stars:
Seth Rogen, 
Kristen Wiig, 
Jonah Hill, 
Alistair Abell
    ","
    A sausage strives to discover the truth about his existence."
"417.","Ocean's 8","6.2","(2018)","110 min","
Action, Comedy, Crime            ","168,200","$140.22M","
    Director:
Gary Ross
                 | 
    Stars:
Sandra Bullock, 
Cate Blanchett, 
Anne Hathaway, 
Mindy Kaling
    ","
    Debbie Ocean gathers an all-female crew to attempt an impossible heist at New York City's yearly Met Gala."
"418.","War Dogs","7.1","(2016)","114 min","
Biography, Comedy, Crime            ","167,676","$43.02M","
    Director:
Todd Phillips
                 | 
    Stars:
Jonah Hill, 
Miles Teller, 
Steve Lantz, 
Gregg Weiner
    ","
    Loosely based on the true story of two young men, David Packouz and Efraim Diveroli, who won a three hundred million dollar contract from the Pentagon to arm America's allies in Afghanistan."
"419.","Tomorrowland","6.4","(2015)","130 min","
Action, Adventure, Family            ","167,352","$93.44M","
    Director:
Brad Bird
                 | 
    Stars:
George Clooney, 
Britt Robertson, 
Hugh Laurie, 
Raffey Cassidy
    ","
    Bound by a shared destiny, a teen bursting with scientific curiosity and a former boy-genius inventor embark on a mission to unearth the secrets of a place somewhere in time and space that exists in their collective memory."
"420.","I, Tonya","7.5","(2017)","119 min","
Biography, Comedy, Drama            ","166,642","$30.01M","
    Director:
Craig Gillespie
                 | 
    Stars:
Margot Robbie, 
Sebastian Stan, 
Allison Janney, 
Julianne Nicholson
    ","
    Competitive ice skater Tonya Harding rises amongst the ranks at the U.S. Figure Skating Championships, but her future in the activity is thrown into doubt when her ex-husband intervenes."
"421.","A Million Ways to Die in the West","6.1","(2014)","116 min","
Comedy, Western            ","166,628","$43.14M","
    Director:
Seth MacFarlane
                 | 
    Stars:
Seth MacFarlane, 
Charlize Theron, 
Liam Neeson, 
Amanda Seyfried
    ","
    As a cowardly farmer begins to fall for the mysterious new woman in town, he must put his newly found courage to the test when her husband, a notorious gun-slinger, announces his arrival."
"422.","Your Name.","8.4","(2016)","106 min","
Animation, Drama, Fantasy            ","166,544","$5.02M","
    Director:
Makoto Shinkai
                 | 
    Stars:
Ry<U+00FB>nosuke Kamiki, 
Mone Kamishiraishi, 
Ry<U+00F4> Narita, 
Aoi Y<U+00FB>ki
    ","
    Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?"
"423.","The Promise","6.0","(II) (2016)","133 min","
Action, Adventure, Drama            ","166,373","$51.69M","
    Director:
Terry George
                 | 
    Stars:
Oscar Isaac, 
Charlotte Le Bon, 
Christian Bale, 
Daniel Gim¨¦nez Cacho
    ","
    Set during the last days of the Ottoman Empire, The Promise follows a love triangle between Michael, a brilliant medical student, the beautiful and sophisticated Ana, and Chris - a renowned American journalist based in Paris."
"424.","Atomic Blonde","6.7","(2017)","115 min","
Action, Thriller            ","166,133","$60.97M","
    Director:
David Leitch
                 | 
    Stars:
Charlize Theron, 
James McAvoy, 
John Goodman, 
Eddie Marsan
    ","
    An undercover MI6 agent is sent to Berlin during the Cold War to investigate the murder of a fellow agent and recover a missing list of double agents."
"425.","Get Him to the Greek","6.4","(2010)","109 min","
Comedy, Music            ","166,017","$80.10M","
    Director:
Nicholas Stoller
                 | 
    Stars:
Jonah Hill, 
Russell Brand, 
Elisabeth Moss, 
Rose Byrne
    ","
    A record company intern is hired to accompany out-of-control British rock star Aldous Snow to a concert at L.A.'s Greek Theater."
"426.","The Mummy","5.4","(2017)","110 min","
Action, Adventure, Fantasy            ","165,924","$3.11M","
    Director:
Alex Kurtzman
                 | 
    Stars:
Tom Cruise, 
Sofia Boutella, 
Annabelle Wallis, 
Russell Crowe
    ","
    An ancient Egyptian princess is awakened from her crypt beneath the desert, bringing with her malevolence grown over millennia, and terrors that defy human comprehension."
"427.","Relatos salvajes","8.1","(2014)","122 min","
Comedy, Drama, Thriller            ","165,000","$71.63M","
    Director:
Dami¨¢n Szifron
                 | 
    Stars:
Dar¨ªo Grandinetti, 
Mar¨ªa Marull, 
M¨®nica Villa, 
Diego Starosta
    ","
    Six short stories that explore the extremities of human behavior involving people in distress."
"428.","Mama","6.2","(I) (2013)","100 min","
Horror, Thriller            ","164,867","$39.32M","
    Director:
Andy Muschietti
                 | 
    Stars:
Jessica Chastain, 
Nikolaj Coster-Waldau, 
Megan Charpentier, 
Isabelle N¨¦lisse
    ","
    After a young couple take in their two nieces, they suspect that a supernatural spirit named Mama has latched onto their family."
"429.","The Expendables 3","6.1","(2014)","126 min","
Action, Adventure, Thriller            ","163,603","$127.35M","
    Director:
Patrick Hughes
                 | 
    Stars:
Sylvester Stallone, 
Jason Statham, 
Jet Li, 
Antonio Banderas
    ","
    Barney augments his team with new blood for a personal battle: to take down Conrad Stonebanks, the Expendables co-founder and notorious arms trader who is hell bent on wiping out Barney and every single one of his associates."
"430.","Anchorman 2: The Legend Continues","6.3","(2013)","119 min","
Comedy            ","163,227","$13.30M","
    Director:
Adam McKay
                 | 
    Stars:
Will Ferrell, 
Christina Applegate, 
Paul Rudd, 
Steve Carell
    ","
    With the 1970s behind them, San Diego's top-rated newsman, Ron Burgundy, returns to take New York City's first twenty-four-hour news channel by storm."
"431.","The Tree of Life","6.8","(2011)","139 min","
Drama, Fantasy            ","163,000","$21.59M","
    Director:
Terrence Malick
                 | 
    Stars:
Brad Pitt, 
Sean Penn, 
Jessica Chastain, 
Hunter McCracken
    ","
    The story of a family in Waco, Texas in 1956. The eldest son witnesses the loss of innocence and struggles with his parents' conflicting teachings."
"432.","Mud","7.4","(2012)","130 min","
Drama            ","162,264","$62.58M","
    Director:
Jeff Nichols
                 | 
    Stars:
Matthew McConaughey, 
Tye Sheridan, 
Jacob Lofland, 
Sam Shepard
    ","
    Two young boys encounter a fugitive and form a pact to help him evade the vigilantes that are on his trail and to reunite him with his true love."
"433.","Black Mass","6.9","(2015)","123 min","
Biography, Crime, Drama            ","162,253","$75.40M","
    Director:
Scott Cooper
                 | 
    Stars:
Johnny Depp, 
Benedict Cumberbatch, 
Dakota Johnson, 
Joel Edgerton
    ","
    The true story of Whitey Bulger, the brother of a state senator and the most infamous violent criminal in the history of South Boston, who became an FBI informant to take down a Mafia family invading his turf."
"434.","The Girl on the Train","6.5","(2016)","112 min","
Crime, Drama, Mystery            ","161,744","$35.40M","
    Director:
Tate Taylor
                 | 
    Stars:
Emily Blunt, 
Haley Bennett, 
Rebecca Ferguson, 
Justin Theroux
    ","
    A divorcee becomes entangled in a missing persons investigation that promises to send shockwaves throughout her life."
"435.","Ad Astra","6.6","(2019)","123 min","
Adventure, Drama, Mystery            ","161,533","$103.14M","
    Director:
James Gray
                 | 
    Stars:
Brad Pitt, 
Tommy Lee Jones, 
Ruth Negga, 
Donald Sutherland
    ","
    Astronaut Roy McBride undertakes a mission across an unforgiving solar system to uncover the truth about his missing father and his doomed expedition that now, 30 years later, threatens the universe."
"436.","Independence Day: Resurgence","5.2","(2016)","120 min","
Action, Adventure, Sci-Fi            ","161,410","$3.03M","
    Director:
Roland Emmerich
                 | 
    Stars:
Liam Hemsworth, 
Jeff Goldblum, 
Bill Pullman, 
Maika Monroe
    ","
    Two decades after the first Independence Day invasion, Earth is faced with a new extra-Solar threat. But will mankind's new space defenses be enough?"
"437.","Melancholia","7.2","(2011)","135 min","
Drama, Sci-Fi            ","161,307","$37.24M","
    Director:
Lars von Trier
                 | 
    Stars:
Kirsten Dunst, 
Charlotte Gainsbourg, 
Kiefer Sutherland, 
Alexander Skarsg<U+00E5>rd
    ","
    Two sisters find their already strained relationship challenged as a mysterious new planet threatens to collide with Earth."
"438.","El Camino: A Breaking Bad Movie","7.4","(2019)","122 min","
Action, Crime, Drama            ","161,225","$0.22M","
    Director:
Vince Gilligan
                 | 
    Stars:
Aaron Paul, 
Jonathan Banks, 
Matt Jones, 
Charles Baker
    ","
    El Camino: A Breaking Bad Movie follows fugitive Jesse Pinkman as he runs from his captors, the law and his past."
"439.","The Change-Up","6.3","(2011)","112 min","
Comedy, Fantasy            ","160,838","$43.58M","
    Director:
David Dobkin
                 | 
    Stars:
Jason Bateman, 
Ryan Reynolds, 
Olivia Wilde, 
Leslie Mann
    ","
    Dave is a married man with three kids and a loving wife, and Mitch is a single man who is at the prime of his sexual life. One fateful night while Mitch and Dave are peeing in a fountain, lightning strikes and they switch bodies."
"440.","Bright","6.3","(I) (2017)","117 min","
Action, Fantasy, Thriller            ","160,716","$56.47M","
    Director:
David Ayer
                 | 
    Stars:
Will Smith, 
Joel Edgerton, 
Noomi Rapace, 
Edgar Ram¨ªrez
    ","
    A detective must work with an Orc to find a powerful wand before evil creatures do."
"441.","Tucker and Dale vs Evil","7.5","(2010)","89 min","
Comedy, Horror            ","160,016","$159.58M","
    Director:
Eli Craig
                 | 
    Stars:
Tyler Labine, 
Alan Tudyk, 
Katrina Bowden, 
Jesse Moss
    ","
    Affable hillbillies Tucker and Dale are on vacation at their dilapidated mountain cabin when they are mistaken for murderers by a group of preppy college students."
"442.","Need for Speed","6.5","(2014)","132 min","
Action, Crime, Thriller            ","159,418","$50.29M","
    Director:
Scott Waugh
                 | 
    Stars:
Aaron Paul, 
Dominic Cooper, 
Imogen Poots, 
Kid Cudi
    ","
    Fresh from prison, a street racer who was framed by a wealthy business associate joins a cross-country race with revenge in mind. His ex-partner, learning of the plan, places a massive bounty on his head as the race begins."
"443.","Darkest Hour","7.4","(2017)","125 min","
Biography, Drama, Family            ","158,672","$60.13M","
    Director:
Joe Wright
                 | 
    Stars:
Gary Oldman, 
Lily James, 
Kristin Scott Thomas, 
Ben Mendelsohn
    ","
    In May 1940, the fate of World War II hangs on Winston Churchill, who must decide whether to negotiate with Adolf Hitler, or fight on knowing that it could mean the end of the British Empire."
"444.","The Heat","6.6","(I) (2013)","117 min","
Action, Comedy, Crime            ","158,434","$126.64M","
    Director:
Paul Feig
                 | 
    Stars:
Sandra Bullock, 
Michael McDonald, 
Melissa McCarthy, 
Demi¨¢n Bichir
    ","
    An uptight FBI Special Agent is paired with a foul-mouthed Boston cop to take down a ruthless drug lord."
"445.","Hot Tub Time Machine","6.4","(2010)","101 min","
Comedy, Sci-Fi            ","158,306","$83.50M","
    Director:
Steve Pink
                 | 
    Stars:
John Cusack, 
Rob Corddry, 
Craig Robinson, 
Clark Duke
    ","
    A malfunctioning time machine at a ski resort takes a man back to 1986 with his two friends and nephew, where they must relive a fateful night and not change anything to make sure the nephew is born."
"446.","Resident Evil: Afterlife","5.8","(2010)","96 min","
Action, Adventure, Fantasy            ","158,276","$11.11M","
    Director:
Paul W.S. Anderson
                 | 
    Stars:
Milla Jovovich, 
Ali Larter, 
Wentworth Miller, 
Kim Coates
    ","
    While still out to destroy the evil Umbrella Corporation, Alice joins a group of survivors living in a prison surrounded by the infected who also want to relocate to the mysterious but supposedly unharmed safe haven known only as Arcadia."
"447.","The Legend of Tarzan","6.2","(2016)","110 min","
Action, Adventure, Drama            ","158,132","$5.88M","
    Director:
David Yates
                 | 
    Stars:
Alexander Skarsg<U+00E5>rd, 
Rory J. Saper, 
Christian Stevens, 
Christoph Waltz
    ","
    Tarzan, having acclimated to life in London, is called back to his former home in the jungle to investigate the activities at a mining encampment."
"448.","Uncut Gems","7.5","(2019)","135 min","
Crime, Drama, Thriller            ","157,970","$32.17M","
    Directors:
Benny Safdie, 
Josh Safdie
                 | 
    Stars:
Adam Sandler, 
Julia Fox, 
Idina Menzel, 
Mesfin Lamengo
    ","
    With his debts mounting and angry collectors closing in, a fast-talking New York City jeweler risks everything in hope of staying afloat and alive."
"449.","Immortals","6.0","(2011)","110 min","
Action, Drama, Fantasy            ","157,388","$76.42M","
    Director:
Tarsem Singh
                 | 
    Stars:
Henry Cavill, 
Mickey Rourke, 
John Hurt, 
Stephen Dorff
    ","
    Theseus is a mortal man chosen by Zeus to lead the fight against the ruthless King Hyperion, who is on a rampage across Greece to obtain a weapon that can destroy humanity."
"450.","The Danish Girl","7.1","(2015)","119 min","
Biography, Drama, Romance            ","156,584","$32.37M","
    Director:
Tom Hooper
                 | 
    Stars:
Eddie Redmayne, 
Alicia Vikander, 
Amber Heard, 
Ben Whishaw
    ","
    A fictitious love story loosely inspired by the lives of Danish artists Lili Elbe and Gerda Wegener. Lili and Gerda's marriage and work evolve as they navigate Lili's groundbreaking journey as a transgender pioneer."
"451.","Enemy","6.9","(2013)","91 min","
Drama, Mystery, Thriller            ","156,433","$1.01M","
    Director:
Denis Villeneuve
                 | 
    Stars:
Jake Gyllenhaal, 
M¨¦lanie Laurent, 
Sarah Gadon, 
Isabella Rossellini
    ","
    A man seeks out his exact look-alike after spotting him in a movie."
"452.","The Favourite","7.6","(2018)","119 min","
Biography, Comedy, Drama            ","156,251","$34.37M","
    Director:
Yorgos Lanthimos
                 | 
    Stars:
Olivia Colman, 
Emma Stone, 
Rachel Weisz, 
Nicholas Hoult
    ","
    In early 18th century England, a frail Queen Anne occupies the throne and her close friend, Lady Sarah, governs the country in her stead. When a new servant, Abigail, arrives, her charm endears her to Sarah."
"453.","Madagascar 3: Europe's Most Wanted","6.8","(2012)","93 min","
Animation, Adventure, Comedy            ","156,124","$216.39M","
    Directors:
Eric Darnell, 
Tom McGrath, 
Conrad Vernon
                 | 
    Stars:
Ben Stiller, 
Jada Pinkett Smith, 
Chris Rock, 
David Schwimmer
    ","
    The Madagascar animals join a struggling European circus to get back to New York, but find themselves being pursued by a psychotic animal control officer."
"454.","Exodus: Gods and Kings","6.0","(2014)","150 min","
Action, Drama, Fantasy            ","155,827","$65.01M","
    Director:
Ridley Scott
                 | 
    Stars:
Christian Bale, 
Joel Edgerton, 
Ben Kingsley, 
Sigourney Weaver
    ","
    The defiant leader Moses rises up against Egyptian Pharaoh Ramses II, setting six hundred thousand slaves on a monumental journey of escape from Egypt and its terrifying cycle of deadly plagues."
"455.","Red Sparrow","6.6","(2018)","140 min","
Action, Drama, Thriller            ","154,987","$46.87M","
    Director:
Francis Lawrence
                 | 
    Stars:
Jennifer Lawrence, 
Joel Edgerton, 
Matthias Schoenaerts, 
Charlotte Rampling
    ","
    Ballerina Dominika Egorova is recruited to 'Sparrow School,' a Russian intelligence service where she is forced to use her body as a weapon. Her first mission, targeting a C.I.A. agent, threatens to unravel the security of both nations."
"456.","RED 2","6.6","(2013)","116 min","
Action, Adventure, Comedy            ","154,954","$53.26M","
    Director:
Dean Parisot
                 | 
    Stars:
Bruce Willis, 
Helen Mirren, 
John Malkovich, 
Anthony Hopkins
    ","
    Retired C.I.A. Agent Frank Moses (Bruce Willis) reunites his unlikely team of elite operatives for a global quest to track down a missing portable nuclear device."
"457.","The Karate Kid","6.2","(2010)","140 min","
Action, Drama, Family            ","154,465","$176.59M","
    Director:
Harald Zwart
                 | 
    Stars:
Jackie Chan, 
Jaden Smith, 
Taraji P. Henson, 
Wenwen Han
    ","
    Work causes a single mother to move to China with her young son; in his new home, the boy embraces kung fu, taught to him by a master."
"458.","Valerian and the City of a Thousand Planets","6.5","(2017)","137 min","
Action, Adventure, Family            ","154,071","$41.19M","
    Director:
Luc Besson
                 | 
    Stars:
Dane DeHaan, 
Cara Delevingne, 
Clive Owen, 
Rihanna
    ","
    A dark force threatens Alpha, a vast metropolis and home to species from a thousand planets. Special operatives Valerian and Laureline must race to identify the marauding menace and safeguard not just Alpha, but the future of the universe."
"459.","The Ghost Writer","7.2","(2010)","128 min","
Drama, Mystery, Thriller            ","152,783","$15.54M","
    Director:
Roman Polanski
                 | 
    Stars:
Ewan McGregor, 
Pierce Brosnan, 
Olivia Williams, 
Jon Bernthal
    ","
    A ghost writer, hired to complete the memoirs of a former British Prime Minister, uncovers secrets that put his own life in jeopardy."
"460.","Cinderella","6.9","(I) (2015)","105 min","
Drama, Family, Fantasy            ","152,674","$201.15M","
    Director:
Kenneth Branagh
                 | 
    Stars:
Lily James, 
Cate Blanchett, 
Richard Madden, 
Helena Bonham Carter
    ","
    When her father unexpectedly dies, young Ella finds herself at the mercy of her cruel stepmother and her scheming stepsisters. Never one to give up hope, Ella's fortunes begin to change after meeting a dashing stranger."
"461.","Baywatch","5.5","(2017)","116 min","
Action, Comedy, Crime            ","152,413","$58.06M","
    Director:
Seth Gordon
                 | 
    Stars:
Dwayne Johnson, 
Zac Efron, 
Alexandra Daddario, 
Priyanka Chopra
    ","
    Devoted lifeguard Mitch Buchannon butts heads with a brash new recruit, as they uncover a criminal plot that threatens the future of the bay."
